biz.vn.			43200	IN	SOA	dns-master.vnnic.vn. postmaster.vnnic.vn. 2017711026 3600 1800 604800 5400
biz.vn.			43200	IN	NS	a.dns-servers.vn.
biz.vn.			43200	IN	NS	b.dns-servers.vn.
biz.vn.			43200	IN	NS	c.dns-servers.vn.
biz.vn.			43200	IN	NS	d.dns-servers.vn.
biz.vn.			43200	IN	NS	e.dns-servers.vn.
biz.vn.			43200	IN	NS	f.dns-servers.vn.
biz.vn.			43200	IN	NS	g.dns-servers.vn.
24h.biz.vn.		43200	IN	NS	ns1.digipowerdns.com.
24h.biz.vn.		43200	IN	NS	ns2.digipowerdns.com.
24h.biz.vn.		43200	IN	NS	ns3.digipowerdns.com.
360buy.biz.vn.		43200	IN	NS	ns6.east.net.
360buy.biz.vn.		43200	IN	NS	ns7.east.net.
360top.biz.vn.		43200	IN	NS	ns6.east.net.
360top.biz.vn.		43200	IN	NS	ns7.east.net.
3c.biz.vn.		43200	IN	NS	ns1.zonedns.vn.
3c.biz.vn.		43200	IN	NS	ns2.zonedns.vn.
3c.biz.vn.		43200	IN	NS	ns3.zonedns.vn.
3c.biz.vn.		43200	IN	NS	ns4.zonedns.vn.
51buy.biz.vn.		43200	IN	NS	ns6.east.net.
51buy.biz.vn.		43200	IN	NS	ns7.east.net.
aacorporation.biz.vn.	43200	IN	NS	hcmc.saigonnet.vn.
aacorporation.biz.vn.	43200	IN	NS	hcmc2.saigonnet.vn.
ace.biz.vn.		43200	IN	NS	ns1.pavietnam.vn.
ace.biz.vn.		43200	IN	NS	ns2.pavietnam.vn.
ace.biz.vn.		43200	IN	NS	nsbak.pavietnam.net.
adayroi.biz.vn.		43200	IN	NS	ns1.pavietnam.vn.
adayroi.biz.vn.		43200	IN	NS	ns2.pavietnam.vn.
adayroi.biz.vn.		43200	IN	NS	nsbak.pavietnam.net.
adidas.biz.vn.		43200	IN	NS	ns1.ibizdns.com.
adidas.biz.vn.		43200	IN	NS	ns2.ibizdns.com.
adr.biz.vn.		43200	IN	NS	ns1.netnam.vn.
adr.biz.vn.		43200	IN	NS	ns2.netnam.vn.
adrianroche.biz.vn.	43200	IN	NS	ns1.pavietnam.vn.
adrianroche.biz.vn.	43200	IN	NS	ns2.pavietnam.vn.
adrianroche.biz.vn.	43200	IN	NS	nsbak.pavietnam.net.
agrex.biz.vn.		43200	IN	NS	ns99.vdc2.vn.
agrex.biz.vn.		43200	IN	NS	ns100.vdc2.vn.
agrexcorp.biz.vn.	43200	IN	NS	ns99.vdc2.vn.
agrexcorp.biz.vn.	43200	IN	NS	ns100.vdc2.vn.
agrexfood.biz.vn.	43200	IN	NS	ns99.vdc2.vn.
agrexfood.biz.vn.	43200	IN	NS	ns100.vdc2.vn.
agrexland.biz.vn.	43200	IN	NS	ns99.vdc2.vn.
agrexland.biz.vn.	43200	IN	NS	ns100.vdc2.vn.
agrexlandcorp.biz.vn.	43200	IN	NS	ns99.vdc2.vn.
agrexlandcorp.biz.vn.	43200	IN	NS	ns100.vdc2.vn.
agrexsaigon.biz.vn.	43200	IN	NS	ns99.vdc2.vn.
agrexsaigon.biz.vn.	43200	IN	NS	ns100.vdc2.vn.
air-france.biz.vn.	43200	IN	NS	a.dns.gandi.net.
air-france.biz.vn.	43200	IN	NS	b.dns.gandi.net.
air-france.biz.vn.	43200	IN	NS	c.dns.gandi.net.
